retweetCount,quoteCount,replyCount,retweetedTweet,date,user,text,lang,likeCount,id,cleaned_text
0,0,0,False,2024-07-21,"{'id': 48380858, 'id_str': '48380858', 'url': 'https://twitter.com/Elaine', 'username': 'Elaine', 'rawDescription': 'You can never have too many laugh lines. I like people. You can’t see my backbone but you can feel it. Fluent in Autocorrect. Be you.', 'created': datetime.datetime(2009, 6, 18, 15, 20, 39, tzinfo=datetime.timezone.utc), 'followersCount': 5151, 'friendsCount': 1204, 'statusesCount': 104326, 'favouritesCount': 194966, 'listedCount': 19, 'mediaCount': 12414, 'location': 'Washington State', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1766241797360246784/ZBk3WdZO_normal.jpg', 'profileBannerUrl': 'PW', 'protected': 'PW', 'verified': False, 'blue': True, 'blueType': None, 'descriptionLinks': ['PW'], '_type': 'PW'}","@GeorgeWept Yep. Clinton was our last populist president. Which makes the Kamala issue so fascinating. With Clinton’s endorsement, the same issues on the right are happening on the left. Biden was a bone to the OGs in 2008. It’s all so fascinating!",en,1.0,1815132225232678964,"@USER Yep. Clinton was our last populist president. Which makes the Kamala issue so fascinating. With Clintons endorsement, the same issues on the right are happening on the left. Biden was a bone to the OGs in 2008. Its all so fascinating!"
0,0,0,False,2024-07-21,"{'id': 909880785641115653, 'id_str': '909880785641115653', 'url': 'https://twitter.com/Political Antagonist', 'username': 'Political Antagonist', 'rawDescription': ""Political Antagonist to both Right & Left. Stop with your political lines. Start governing with common sense & budget constraints. I'm not here for followers."", 'created': datetime.datetime(2017, 9, 18, 20, 44, 18, tzinfo=datetime.timezone.utc), 'followersCount': 126, 'friendsCount': 31, 'statusesCount': 9144, 'favouritesCount': 421, 'listedCount': 1, 'mediaCount': 721, 'location': 'United States', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1590558493513326593/vbj7Fhrc_normal.jpg', 'profileBannerUrl': 'PW', 'protected': 'PW', 'verified': False, 'blue': False, 'blueType': None, 'descriptionLinks': ['PW'], '_type': 'PW'}","With Biden officially dropping out, @TheDemocrats should be talking to these people to find their candidate.",en,0.0,1815132225127522408,"With Biden officially dropping out, @USER should be talking to these people to find their candidate."
0,0,0,False,2024-07-21,"{'id': 1563296326279802883, 'id_str': '1563296326279802883', 'url': 'https://twitter.com/Nevertheless Nine', 'username': 'Nevertheless Nine', 'rawDescription': 'سچا', 'created': datetime.datetime(2022, 8, 26, 22, 44, 51, tzinfo=datetime.timezone.utc), 'followersCount': 28, 'friendsCount': 2, 'statusesCount': 5846, 'favouritesCount': 16428, 'listedCount': 1, 'mediaCount': 277, 'location': 'goon palace, moon', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1780999827591172096/B5j7w6DB_normal.jpg', 'profileBannerUrl': 'PW', 'protected': 'PW', 'verified': False, 'blue': True, 'blueType': None, 'descriptionLinks': ['PW'], '_type': 'PW'}","Trump can walk all over Biden, yall can call women bitches and show how fragile your ego is and only one will prevail in the end.",en,0.0,1815132224616091844,"Trump can walk all over Biden, yall can call women bitches and show how fragile your ego is and only one will prevail in the end."
0,0,2,False,2024-07-21,"{'id': 923106269761851392, 'id_str': '923106269761851392', 'url': 'https://twitter.com/Andrew Korybko, PhD', 'username': 'Andrew Korybko, PhD', 'rawDescription': ""I'm a Moscow-based American political analyst with a PhD from MGIMO. My personal views are my own & don’t represent any other people, outlets, or institutions."", 'created': datetime.datetime(2017, 10, 25, 8, 37, 40, tzinfo=datetime.timezone.utc), 'followersCount': 46453, 'friendsCount': 13184, 'statusesCount': 74457, 'favouritesCount': 314592, 'listedCount': 243, 'mediaCount': 5194, 'location': 'Moscow, Russia', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/923110970515513344/mN-gzyJK_normal.jpg', 'profileBannerUrl': 'PW', 'protected': 'PW', 'verified': False, 'blue': True, 'blueType': None, 'descriptionLinks': ['PW'], '_type': 'PW'}","@AtomicAj74 @McFaul Did you know that I’m also a ghostwriter at CNN too? 😁

“Angry and stunned Democrats blame Biden’s closest advisers for shielding public from full extent of president’s decline”

https://t.co/PDiwmrU7o6",en,0.0,1815132224561312141,@USER @USER Did you know that Im also a ghostwriter at CNN too? Angry and stunnedDemocratsblame Bidens closest advisers for shielding public from full extent of presidents decline HTTPURL
0,0,5,False,2024-07-21,"{'id': 106928985, 'id_str': '106928985', 'url': ""https://twitter.com/Katie Porter's White Board"", 'username': ""Katie Porter's White Board"", 'rawDescription': 'Proud mom. Proud USAF Veteran🌊🇺🇲🏳️\u200d🌈', 'created': datetime.datetime(2010, 1, 21, 3, 7, 55, tzinfo=datetime.timezone.utc), 'followersCount': 3338, 'friendsCount': 2215, 'statusesCount': 34747, 'favouritesCount': 587156, 'listedCount': 27, 'mediaCount': 3111, 'location': '', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1820974562516795392/-1Ub7Mk9_normal.jpg', 'profileBannerUrl': 'PW', 'protected': 'PW', 'verified': False, 'blue': False, 'blueType': None, 'descriptionLinks': ['PW'], '_type': 'PW'}","@acnewsitics I've received a ton of text messages from my friends about this. No one before had ever told me that Biden needed to step down, but there is definitely a lot of hope today. Everyone is also excited about Kamala Harris moving to the top of the ticket.",en,6.0,1815132224557068524,"@USER I've received a ton of text messages from my friends about this. No one before had ever told me that Biden needed to step down, but there is definitely a lot of hope today. Everyone is also excited about Kamala Harris moving to the top of the ticket."
50,1,15,False,2024-07-21,"{'id': 715044396, 'id_str': '715044396', 'url': 'https://twitter.com/Lisa', 'username': 'Lisa', 'rawDescription': 'You can check out any time you like but you can never leave', 'created': datetime.datetime(2012, 7, 24, 22, 39, 6, tzinfo=datetime.timezone.utc), 'followersCount': 125224, 'friendsCount': 3338, 'statusesCount': 284570, 'favouritesCount': 309050, 'listedCount': 592, 'mediaCount': 1651, 'location': 'Los Angeles, CA', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1453180356551528448/4JV3rivI_normal.jpg', 'profileBannerUrl': 'PW', 'protected': 'PW', 'verified': False, 'blue': True, 'blueType': None, 'descriptionLinks': ['PW'], '_type': 'PW'}","Political machines Trump has ended; 

The Biden’s 

The Bush’s 

The Clinton’s",en,203.0,1815132224209240373,Political machines Trump has ended; The Bidens The Bushs The Clintons
0,0,0,False,2024-07-21,"{'id': 1793543909542436864, 'id_str': '1793543909542436864', 'url': 'https://twitter.com/Azizo007🏳️🏴', 'username': 'Azizo007🏳️🏴', 'rawDescription': '🖋️Engineer 🔧CNC operator\n\n~HittingTheGym⛓️\n\n~Reading Books📚\n\n~Watching News📰', 'created': datetime.datetime(2024, 5, 23, 7, 26, 17, tzinfo=datetime.timezone.utc), 'followersCount': 63, 'friendsCount': 41, 'statusesCount': 2259, 'favouritesCount': 703, 'listedCount': 0, 'mediaCount': 406, 'location': 'keepItSecret', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1822317754474479616/ciATraxI_normal.jpg', 'profileBannerUrl': 'PW', 'protected': 'PW', 'verified': False, 'blue': False, 'blueType': None, 'descriptionLinks': ['PW'], '_type': 'PW'}","@RpsAgainstTrump Who cares! this is 13 years ago!! Move on my boy nothing stays as the same👍🏼

🚨Trump2024",en,0.0,1815132224146272688,@USER Who cares! this is 13 years ago!! Move on my boy nothing stays as the same Trump2024
1,0,0,False,2024-07-21,"{'id': 20361510, 'id_str': '20361510', 'url': 'https://twitter.com/Lily @Honeysuckle63', 'username': 'Lily @Honeysuckle63', 'rawDescription': '', 'created': datetime.datetime(2009, 2, 8, 11, 27, 9, tzinfo=datetime.timezone.utc), 'followersCount': 719, 'friendsCount': 1487, 'statusesCount': 124834, 'favouritesCount': 120326, 'listedCount': 32, 'mediaCount': 188, 'location': '', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/627783505846603776/73eMhYgQ_normal.jpg', 'profileBannerUrl': 'PW', 'protected': 'PW', 'verified': False, 'blue': False, 'blueType': None, 'descriptionLinks': ['PW'], '_type': 'PW'}","@BarackObama Joe Biden is Complicit in the Genocide of PALESTINIANS in their Gaza Concentration Camp!

Shameful! History will Never forgive or Forget!",en,0.0,1815132223848214923,@USER Joe Biden is Complicit in the Genocide of PALESTINIANS in their Gaza Concentration Camp! Shameful! History will Never forgive or Forget!
0,0,0,False,2024-07-21,"{'id': 1613475197318823937, 'id_str': '1613475197318823937', 'url': 'https://twitter.com/Jan Wesel', 'username': 'Jan Wesel', 'rawDescription': '', 'created': datetime.datetime(2023, 1, 12, 9, 57, 52, tzinfo=datetime.timezone.utc), 'followersCount': 15, 'friendsCount': 46, 'statusesCount': 562, 'favouritesCount': 1356, 'listedCount': 0, 'mediaCount': 15, 'location': '', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1613475341149798401/0IuCc1XW_normal.png', 'profileBannerUrl': 'PW', 'protected': 'PW', 'verified': False, 'blue': False, 'blueType': None, 'descriptionLinks': ['PW'], '_type': 'PW'}","@JoeBiden I repect Mr. Biden decision,

if you think, you are too old the you kann withdraw.

An old man muss not run for president, if he is not fit. 

And there is an old, weak man still in race!",en,0.0,1815132223558807821,"@USER I repect Mr. Biden decision, if you think, you are too old the you kann withdraw. An old man muss not run for president, if he is not fit. And there is an old, weak man still in race!"
0,0,0,False,2024-07-21,"{'id': 1613244168540676103, 'id_str': '1613244168540676103', 'url': 'https://twitter.com/Barometer Trading, LLC', 'username': 'Barometer Trading, LLC', 'rawDescription': 'Equity Long/Short Excellence for Wealth Accumulation & Presevation. Significantly outperforming Wall St. for 38 Months and counting...', 'created': datetime.datetime(2023, 1, 11, 18, 39, 36, tzinfo=datetime.timezone.utc), 'followersCount': 135, 'friendsCount': 145, 'statusesCount': 114, 'favouritesCount': 64, 'listedCount': 0, 'mediaCount': 2, 'location': 'Granger, Indiana', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1613247671711457281/VU0Ije-M_normal.jpg', 'profileBannerUrl': 'PW', 'protected': 'PW', 'verified': False, 'blue': False, 'blueType': None, 'descriptionLinks': ['PW'], '_type': 'PW'}",Please read my reply post to @JDVance1 about this topic. I would guess $50MM plus Pardons for all Bidens+; plus jobs or Ambassadorships for senior Biden aides.,en,0.0,1815132223474974929,Please read my reply post to @USER about this topic. I would guess $50MM plus Pardons for all Bidens+; plus jobs or Ambassadorships for senior Biden aides.
